Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,183600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,185700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,196400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,201100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,182500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,203400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,176600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,179300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,189400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,283400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,133100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,102400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,99700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,105000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,100200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,106000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,100500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,1798400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,144600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,110100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,102500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,97600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,102600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,105300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,128300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,100600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,181500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,103700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,104800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,157500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,121600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,136900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,140700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,176000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,102100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,101700,200.0,-1.0,-1.0,201,1.0,1.0
