Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,436700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,439600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,431300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,466100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,390400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,454300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,353700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,192100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,344900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,173600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,173500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,174100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,389500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,172100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,249700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,172800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,221100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,196600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,173200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,353300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,368100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,358700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,235100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,189700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,220300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,173800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,299800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,198200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,174900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,176400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,172400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,534100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,203400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,177600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,181000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,181000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,381500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,262200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,196200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,224400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,244800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,177900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,307900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,177500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,176900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,431600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,179300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,215100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,177100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,375900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,179600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,217600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,177300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,209400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,279500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,292400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,353000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,182600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,414500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,202400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,202000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178900,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,202100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,179100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,381400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,186100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,177800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,260500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,180700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,181000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,324300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,177000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,186600,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,193800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,248100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,604400,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,285800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,325700,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,198500,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,184200,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,188000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,179100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,378800,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,178300,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,205100,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,181200,200.0,-1.0,-1.0,201,1.0,1.0
1.0,true,492000,208.0,-1.0,-1.0,464,1.0,1.0
1.0,true,691200,202.0,-1.0,-1.0,670,1.0,1.0
1.0,true,183700,200.0,-1.0,-1.0,201,1.0,1.0
1.0,true,462700,200.0,-1.0,-1.0,317,1.0,1.0
1.0,true,717600,202.0,-1.0,-1.0,713,1.0,1.0
1.0,true,720800,202.0,-1.0,-1.0,585,1.0,1.0
1.0,true,477900,202.0,-1.0,-1.0,241,1.0,1.0
1.0,true,485200,202.0,-1.0,-1.0,535,1.0,1.0
1.0,true,396200,202.0,-1.0,-1.0,427,1.0,1.0
1.0,true,421100,200.0,-1.0,-1.0,347,1.0,1.0
1.0,true,848900,202.0,-1.0,-1.0,769,1.0,1.0
1.0,true,552900,202.0,-1.0,-1.0,568,1.0,1.0
1.0,true,187400,200.0,-1.0,-1.0,201,1.0,1.0
1.0,true,261900,202.0,-1.0,-1.0,253,1.0,1.0
1.0,true,358000,200.0,-1.0,-1.0,394,1.0,1.0
1.0,true,532200,200.0,-1.0,-1.0,352,1.0,1.0
1.0,true,687200,200.0,-1.0,-1.0,532,1.0,1.0
1.0,true,183300,200.0,-1.0,-1.0,201,1.0,1.0
1.0,true,308500,204.0,-1.0,-1.0,262,1.0,1.0
1.0,true,220400,202.0,-1.0,-1.0,242,1.0,1.0
1.0,true,583400,204.0,-1.0,-1.0,430,1.0,1.0
1.0,true,507500,204.0,-1.0,-1.0,508,1.0,1.0
1.0,true,325700,202.0,-1.0,-1.0,372,1.0,1.0
1.0,true,309600,202.0,-1.0,-1.0,259,1.0,1.0
1.0,true,654200,204.0,-1.0,-1.0,538,1.0,1.0
1.0,true,607000,204.0,-1.0,-1.0,561,1.0,1.0
1.0,true,492800,204.0,-1.0,-1.0,592,1.0,1.0
1.0,true,447000,204.0,-1.0,-1.0,382,1.0,1.0
1.0,true,253600,204.0,-1.0,-1.0,294,1.0,1.0
1.0,true,256400,202.0,-1.0,-1.0,283,1.0,1.0
1.0,true,576600,200.0,-1.0,-1.0,533,1.0,1.0
1.0,true,905100,202.0,-1.0,-1.0,930,1.0,1.0
1.0,true,617300,202.0,-1.0,-1.0,492,1.0,1.0
1.0,true,537400,202.0,-1.0,-1.0,634,1.0,1.0
1.0,true,212300,204.0,-1.0,-1.0,241,1.0,1.0
1.0,true,352200,202.0,-1.0,-1.0,425,1.0,1.0
1.0,true,566600,206.0,-1.0,-1.0,418,1.0,1.0
1.0,true,615600,202.0,-1.0,-1.0,663,1.0,1.0
1.0,true,666600,202.0,-1.0,-1.0,560,1.0,1.0
1.0,true,236700,200.0,-1.0,-1.0,201,1.0,1.0
1.0,true,583800,202.0,-1.0,-1.0,483,1.0,1.0
1.0,true,414300,204.0,-1.0,-1.0,366,1.0,1.0
1.0,true,190500,202.0,-1.0,-1.0,214,1.0,1.0
1.0,true,474800,202.0,-1.0,-1.0,390,1.0,1.0
1.0,true,503400,202.0,-1.0,-1.0,535,1.0,1.0
1.0,true,409000,202.0,-1.0,-1.0,437,1.0,1.0
1.0,true,251600,200.0,-1.0,-1.0,201,1.0,1.0
1.0,true,654800,204.0,-1.0,-1.0,487,1.0,1.0
1.0,true,202300,200.0,-1.0,-1.0,201,1.0,1.0
1.0,true,899200,202.0,-1.0,-1.0,758,1.0,1.0
1.0,true,274500,202.0,-1.0,-1.0,323,1.0,1.0
1.0,true,516900,202.0,-1.0,-1.0,437,1.0,1.0
1.0,true,295000,200.0,-1.0,-1.0,324,1.0,1.0
1.0,true,362700,204.0,-1.0,-1.0,397,1.0,1.0
1.0,true,180400,200.0,-1.0,-1.0,201,1.0,1.0
1.0,true,274200,200.0,-1.0,-1.0,326,1.0,1.0
1.0,true,1269100,206.0,-1.0,-1.0,813,1.0,1.0
1.0,true,966900,202.0,-1.0,-1.0,565,1.0,1.0
1.0,true,873400,204.0,-1.0,-1.0,405,1.0,1.0
1.0,true,495700,200.0,-1.0,-1.0,322,1.0,1.0
1.0,true,719700,200.0,-1.0,-1.0,512,1.0,1.0
1.0,true,437100,200.0,-1.0,-1.0,415,1.0,1.0
1.0,true,199600,202.0,-1.0,-1.0,223,1.0,1.0
1.0,true,533600,206.0,-1.0,-1.0,623,1.0,1.0
1.0,true,541300,200.0,-1.0,-1.0,577,1.0,1.0
