Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,148500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,126800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,120100,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,115800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,120300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,126900,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,112200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,104900,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,102900,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,111800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,112300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,112300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,112800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,112000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,156400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,104800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,134000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,111800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,192500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,166800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,176700,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,170500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,165000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,181200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,177700,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,171300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,114900,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,126200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,123300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,196000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,114800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,106900,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,118700,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,114300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,127000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,109000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,117500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,121200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,119200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,132600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,129100,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,384300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,111400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,113400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,130900,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,110600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,119700,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,104400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,193400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,193500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,129400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,157300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,115100,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,117700,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,110200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,109600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,153000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,112400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,116600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,143600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,196000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,132600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,176500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,108300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,110900,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,109300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,112600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,146200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,99800,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,100600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,113300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,110200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,114500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,129700,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,125500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,122500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,138700,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,140900,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,129100,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,120500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,196100,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,162300,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,109700,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,184000,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,116500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,118200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,122500,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,119400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,109600,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,108200,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,108400,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,114100,200.0,-1.0,-1.0,201,1.0,26.0
0.0,true,109300,200.0,-1.0,-1.0,201,1.0,26.0
