Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
15.0,true,5105900,200.0,-1.0,-1.0,8207,1.0,0.0
15.0,true,3251600,200.0,-1.0,-1.0,6691,1.2,0.0
15.0,true,2383500,200.0,-1.0,-1.0,5078,1.4,0.0
15.0,true,2000800,200.0,-1.0,-1.0,3452,1.6,0.0
15.0,true,819500,200.0,-1.0,-1.0,2005,1.8,0.0
15.0,true,378200,200.0,-1.0,-1.0,767,2.0,0.0
15.0,true,205900,200.0,-1.0,-1.0,406,2.2,0.0
15.0,true,133900,200.0,-1.0,-1.0,337,2.4000000000000004,0.0
15.0,true,180200,200.0,-1.0,-1.0,322,2.6,0.0
15.0,true,232900,202.0,-1.0,-1.0,297,2.8,0.0
15.0,true,141900,202.0,-1.0,-1.0,276,3.0,0.0
15.0,true,118800,202.0,-1.0,-1.0,276,3.2,0.0
15.0,true,105300,202.0,-1.0,-1.0,273,3.4000000000000004,0.0
15.0,true,106500,202.0,-1.0,-1.0,270,3.6,0.0
15.0,true,100400,202.0,-1.0,-1.0,269,3.8000000000000003,0.0
15.0,true,108300,202.0,-1.0,-1.0,262,4.0,0.0
15.0,true,163600,202.0,-1.0,-1.0,262,4.2,0.0
15.0,true,129400,202.0,-1.0,-1.0,262,4.4,0.0
15.0,true,105800,202.0,-1.0,-1.0,261,4.6,0.0
15.0,true,114200,202.0,-1.0,-1.0,261,4.800000000000001,0.0
15.0,true,101600,202.0,-1.0,-1.0,261,5.0,0.0
15.0,true,102300,202.0,-1.0,-1.0,261,5.2,0.0
15.0,true,104100,202.0,-1.0,-1.0,261,5.4,0.0
15.0,true,104500,202.0,-1.0,-1.0,261,5.6000000000000005,0.0
15.0,true,102200,202.0,-1.0,-1.0,261,5.800000000000001,0.0
15.0,true,100200,202.0,-1.0,-1.0,260,6.0,0.0
15.0,true,97100,202.0,-1.0,-1.0,260,6.2,0.0
15.0,true,97900,202.0,-1.0,-1.0,260,6.4,0.0
15.0,true,142100,202.0,-1.0,-1.0,260,6.6000000000000005,0.0
15.0,true,171700,202.0,-1.0,-1.0,260,6.800000000000001,0.0
15.0,true,105000,202.0,-1.0,-1.0,259,7.0,0.0
15.0,true,102500,202.0,-1.0,-1.0,259,7.2,0.0
15.0,true,95700,202.0,-1.0,-1.0,259,7.4,0.0
15.0,true,95300,202.0,-1.0,-1.0,259,7.6000000000000005,0.0
15.0,true,164400,202.0,-1.0,-1.0,259,7.800000000000001,0.0
15.0,true,106200,202.0,-1.0,-1.0,259,8.0,0.0
15.0,true,156100,202.0,-1.0,-1.0,259,8.2,0.0
15.0,true,104100,202.0,-1.0,-1.0,259,8.4,0.0
15.0,true,118200,202.0,-1.0,-1.0,259,8.600000000000001,0.0
15.0,true,151700,202.0,-1.0,-1.0,259,8.8,0.0
15.0,true,105600,202.0,-1.0,-1.0,259,9.0,0.0
15.0,true,117300,202.0,-1.0,-1.0,259,9.200000000000001,0.0
15.0,true,115200,202.0,-1.0,-1.0,259,9.4,0.0
15.0,true,204100,202.0,-1.0,-1.0,259,9.6,0.0
15.0,true,131500,202.0,-1.0,-1.0,259,9.8,0.0
15.0,true,182300,202.0,-1.0,-1.0,259,10.0,0.0
15.0,true,4471800,200.0,-1.0,-1.0,8229,1.0,0.0
15.0,true,3104400,200.0,-1.0,-1.0,6707,1.2,0.0
15.0,true,2003500,200.0,-1.0,-1.0,5096,1.4,0.0
15.0,true,1910500,200.0,-1.0,-1.0,3450,1.6,0.0
15.0,true,672000,200.0,-1.0,-1.0,1753,1.8,0.0
15.0,true,209700,200.0,-1.0,-1.0,463,2.0,0.0
15.0,true,209700,200.0,-1.0,-1.0,293,2.2,0.0
15.0,true,104100,200.0,-1.0,-1.0,259,2.4000000000000004,0.0
15.0,true,114700,200.0,-1.0,-1.0,243,2.6,0.0
15.0,true,103900,200.0,-1.0,-1.0,237,2.8,0.0
15.0,true,151600,200.0,-1.0,-1.0,224,3.0,0.0
15.0,true,141300,200.0,-1.0,-1.0,224,3.2,0.0
15.0,true,93000,200.0,-1.0,-1.0,224,3.4000000000000004,0.0
15.0,true,98300,200.0,-1.0,-1.0,223,3.6,0.0
15.0,true,211900,200.0,-1.0,-1.0,223,3.8000000000000003,0.0
15.0,true,97200,200.0,-1.0,-1.0,220,4.0,0.0
15.0,true,102500,200.0,-1.0,-1.0,220,4.2,0.0
15.0,true,95800,200.0,-1.0,-1.0,220,4.4,0.0
15.0,true,96400,200.0,-1.0,-1.0,220,4.6,0.0
15.0,true,105400,200.0,-1.0,-1.0,220,4.800000000000001,0.0
15.0,true,103300,200.0,-1.0,-1.0,219,5.0,0.0
15.0,true,85800,200.0,-1.0,-1.0,219,5.2,0.0
15.0,true,86400,200.0,-1.0,-1.0,219,5.4,0.0
15.0,true,88300,200.0,-1.0,-1.0,219,5.6000000000000005,0.0
15.0,true,131400,200.0,-1.0,-1.0,219,5.800000000000001,0.0
15.0,true,166600,200.0,-1.0,-1.0,219,6.0,0.0
15.0,true,114300,200.0,-1.0,-1.0,219,6.2,0.0
15.0,true,93600,200.0,-1.0,-1.0,219,6.4,0.0
15.0,true,88800,200.0,-1.0,-1.0,219,6.6000000000000005,0.0
15.0,true,86400,200.0,-1.0,-1.0,219,6.800000000000001,0.0
15.0,true,87200,200.0,-1.0,-1.0,219,7.0,0.0
15.0,true,130100,200.0,-1.0,-1.0,219,7.2,0.0
15.0,true,88400,200.0,-1.0,-1.0,219,7.4,0.0
15.0,true,88300,200.0,-1.0,-1.0,219,7.6000000000000005,0.0
15.0,true,91200,200.0,-1.0,-1.0,219,7.800000000000001,0.0
15.0,true,96000,200.0,-1.0,-1.0,219,8.0,0.0
15.0,true,83100,200.0,-1.0,-1.0,219,8.2,0.0
15.0,true,82900,200.0,-1.0,-1.0,219,8.4,0.0
15.0,true,95100,200.0,-1.0,-1.0,219,8.600000000000001,0.0
15.0,true,85200,200.0,-1.0,-1.0,219,8.8,0.0
15.0,true,84300,200.0,-1.0,-1.0,219,9.0,0.0
15.0,true,153700,200.0,-1.0,-1.0,219,9.200000000000001,0.0
15.0,true,86000,200.0,-1.0,-1.0,219,9.4,0.0
15.0,true,110900,200.0,-1.0,-1.0,219,9.6,0.0
15.0,true,108300,200.0,-1.0,-1.0,219,9.8,0.0
15.0,true,165100,200.0,-1.0,-1.0,219,10.0,0.0
15.0,true,3387200,200.0,-1.0,-1.0,8220,1.0,0.0
15.0,true,3615800,200.0,-1.0,-1.0,6765,1.2,0.0
15.0,true,2458700,200.0,-1.0,-1.0,5193,1.4,0.0
15.0,true,1516800,200.0,-1.0,-1.0,3598,1.6,0.0
15.0,true,1002700,200.0,-1.0,-1.0,2011,1.8,0.0
15.0,true,232700,200.0,-1.0,-1.0,435,2.0,0.0
15.0,true,143100,200.0,-1.0,-1.0,287,2.2,0.0
15.0,true,124800,200.0,-1.0,-1.0,260,2.4000000000000004,0.0
15.0,true,113400,200.0,-1.0,-1.0,249,2.6,0.0
15.0,true,96600,200.0,-1.0,-1.0,243,2.8,0.0
15.0,true,96600,200.0,-1.0,-1.0,227,3.0,0.0
15.0,true,99100,200.0,-1.0,-1.0,227,3.2,0.0
15.0,true,139900,200.0,-1.0,-1.0,227,3.4000000000000004,0.0
15.0,true,116600,200.0,-1.0,-1.0,227,3.6,0.0
15.0,true,100400,200.0,-1.0,-1.0,227,3.8000000000000003,0.0
15.0,true,108700,200.0,-1.0,-1.0,225,4.0,0.0
15.0,true,101400,200.0,-1.0,-1.0,225,4.2,0.0
15.0,true,169500,200.0,-1.0,-1.0,225,4.4,0.0
15.0,true,101000,200.0,-1.0,-1.0,225,4.6,0.0
15.0,true,116300,200.0,-1.0,-1.0,225,4.800000000000001,0.0
15.0,true,188200,202.0,-1.0,-1.0,222,5.0,0.0
15.0,true,152200,202.0,-1.0,-1.0,222,5.2,0.0
15.0,true,98000,202.0,-1.0,-1.0,222,5.4,0.0
15.0,true,148000,202.0,-1.0,-1.0,222,5.6000000000000005,0.0
15.0,true,95800,202.0,-1.0,-1.0,222,5.800000000000001,0.0
15.0,true,159700,202.0,-1.0,-1.0,222,6.0,0.0
15.0,true,119800,202.0,-1.0,-1.0,222,6.2,0.0
15.0,true,112800,202.0,-1.0,-1.0,222,6.4,0.0
15.0,true,155400,202.0,-1.0,-1.0,222,6.6000000000000005,0.0
15.0,true,159600,202.0,-1.0,-1.0,222,6.800000000000001,0.0
15.0,true,176400,202.0,-1.0,-1.0,222,7.0,0.0
15.0,true,173800,202.0,-1.0,-1.0,222,7.2,0.0
15.0,true,96700,202.0,-1.0,-1.0,222,7.4,0.0
15.0,true,103500,202.0,-1.0,-1.0,222,7.6000000000000005,0.0
15.0,true,165000,202.0,-1.0,-1.0,222,7.800000000000001,0.0
15.0,true,120900,202.0,-1.0,-1.0,222,8.0,0.0
15.0,true,117200,202.0,-1.0,-1.0,222,8.2,0.0
15.0,true,96200,202.0,-1.0,-1.0,222,8.4,0.0
15.0,true,110100,202.0,-1.0,-1.0,222,8.600000000000001,0.0
15.0,true,93600,202.0,-1.0,-1.0,222,8.8,0.0
15.0,true,90600,202.0,-1.0,-1.0,222,9.0,0.0
15.0,true,102600,202.0,-1.0,-1.0,222,9.200000000000001,0.0
15.0,true,109400,202.0,-1.0,-1.0,222,9.4,0.0
15.0,true,185500,202.0,-1.0,-1.0,222,9.6,0.0
15.0,true,103400,202.0,-1.0,-1.0,222,9.8,0.0
15.0,true,100800,202.0,-1.0,-1.0,222,10.0,0.0
15.0,true,4270200,200.0,-1.0,-1.0,8316,1.0,0.0
15.0,true,3334400,200.0,-1.0,-1.0,6759,1.2,0.0
15.0,true,2463300,200.0,-1.0,-1.0,5120,1.4,0.0
15.0,true,1426400,200.0,-1.0,-1.0,3423,1.6,0.0
15.0,true,724900,200.0,-1.0,-1.0,1806,1.8,0.0
15.0,true,186100,200.0,-1.0,-1.0,378,2.0,0.0
15.0,true,206300,200.0,-1.0,-1.0,289,2.2,0.0
15.0,true,139300,200.0,-1.0,-1.0,268,2.4000000000000004,0.0
15.0,true,113300,200.0,-1.0,-1.0,258,2.6,0.0
15.0,true,110100,200.0,-1.0,-1.0,254,2.8,0.0
15.0,true,122600,202.0,-1.0,-1.0,239,3.0,0.0
15.0,true,128600,202.0,-1.0,-1.0,239,3.2,0.0
15.0,true,99400,202.0,-1.0,-1.0,238,3.4000000000000004,0.0
15.0,true,157500,204.0,-1.0,-1.0,231,3.6,0.0
