Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
15.0,true,5878200,200.0,-1.0,-1.0,8419,1.0,0.0
15.0,true,2649100,200.0,-1.0,-1.0,6527,1.2,0.0
15.0,true,1320300,200.0,-1.0,-1.0,2464,1.4,0.0
15.0,true,125700,200.0,-1.0,-1.0,226,1.6,0.0
15.0,true,111500,200.0,-1.0,-1.0,219,1.8,0.0
15.0,true,108900,200.0,-1.0,-1.0,218,2.0,0.0
15.0,true,107000,200.0,-1.0,-1.0,218,2.2,0.0
15.0,true,90100,200.0,-1.0,-1.0,218,2.4000000000000004,0.0
15.0,true,277800,200.0,-1.0,-1.0,218,2.6,0.0
15.0,true,106600,200.0,-1.0,-1.0,218,2.8,0.0
15.0,true,101200,200.0,-1.0,-1.0,219,3.0,0.0
15.0,true,125800,200.0,-1.0,-1.0,219,3.2,0.0
15.0,true,89000,200.0,-1.0,-1.0,219,3.4000000000000004,0.0
15.0,true,82000,200.0,-1.0,-1.0,219,3.6,0.0
15.0,true,136900,200.0,-1.0,-1.0,219,3.8000000000000003,0.0
15.0,true,133800,200.0,-1.0,-1.0,219,4.0,0.0
15.0,true,89700,200.0,-1.0,-1.0,219,4.2,0.0
15.0,true,88300,202.0,-1.0,-1.0,217,4.4,0.0
15.0,true,82100,202.0,-1.0,-1.0,217,4.6,0.0
15.0,true,143600,202.0,-1.0,-1.0,217,4.800000000000001,0.0
15.0,true,141200,202.0,-1.0,-1.0,217,5.0,0.0
15.0,true,99300,202.0,-1.0,-1.0,217,5.2,0.0
15.0,true,83500,202.0,-1.0,-1.0,217,5.4,0.0
15.0,true,82100,202.0,-1.0,-1.0,217,5.6000000000000005,0.0
15.0,true,96400,202.0,-1.0,-1.0,217,5.800000000000001,0.0
15.0,true,103400,202.0,-1.0,-1.0,217,6.0,0.0
15.0,true,124000,202.0,-1.0,-1.0,217,6.2,0.0
15.0,true,87400,202.0,-1.0,-1.0,217,6.4,0.0
15.0,true,95200,204.0,-1.0,-1.0,217,6.6000000000000005,0.0
15.0,true,185800,204.0,-1.0,-1.0,217,6.800000000000001,0.0
15.0,true,116900,204.0,-1.0,-1.0,217,7.0,0.0
15.0,true,99700,204.0,-1.0,-1.0,217,7.2,0.0
15.0,true,97200,204.0,-1.0,-1.0,217,7.4,0.0
15.0,true,110800,204.0,-1.0,-1.0,217,7.6000000000000005,0.0
15.0,true,81500,204.0,-1.0,-1.0,217,7.800000000000001,0.0
15.0,true,141400,204.0,-1.0,-1.0,217,8.0,0.0
15.0,true,93000,204.0,-1.0,-1.0,217,8.2,0.0
15.0,true,88000,204.0,-1.0,-1.0,217,8.4,0.0
15.0,true,103500,204.0,-1.0,-1.0,217,8.600000000000001,0.0
15.0,true,80900,204.0,-1.0,-1.0,217,8.8,0.0
15.0,true,102500,204.0,-1.0,-1.0,217,9.0,0.0
15.0,true,100900,204.0,-1.0,-1.0,217,9.200000000000001,0.0
15.0,true,137800,204.0,-1.0,-1.0,217,9.4,0.0
15.0,true,131500,204.0,-1.0,-1.0,217,9.6,0.0
15.0,true,94200,204.0,-1.0,-1.0,217,9.8,0.0
15.0,true,81600,204.0,-1.0,-1.0,217,10.0,0.0
15.0,true,3982600,200.0,-1.0,-1.0,8257,1.0,0.0
15.0,true,3089800,200.0,-1.0,-1.0,6352,1.2,0.0
15.0,true,1239200,200.0,-1.0,-1.0,2211,1.4,0.0
15.0,true,123000,200.0,-1.0,-1.0,205,1.6,0.0
15.0,true,101400,200.0,-1.0,-1.0,204,1.8,0.0
15.0,true,95900,200.0,-1.0,-1.0,204,2.0,0.0
15.0,true,92700,200.0,-1.0,-1.0,204,2.2,0.0
15.0,true,77600,200.0,-1.0,-1.0,204,2.4000000000000004,0.0
15.0,true,75700,200.0,-1.0,-1.0,204,2.6,0.0
15.0,true,87400,200.0,-1.0,-1.0,204,2.8,0.0
15.0,true,91000,200.0,-1.0,-1.0,204,3.0,0.0
15.0,true,92000,200.0,-1.0,-1.0,204,3.2,0.0
15.0,true,89500,200.0,-1.0,-1.0,204,3.4000000000000004,0.0
15.0,true,87500,200.0,-1.0,-1.0,204,3.6,0.0
15.0,true,88900,200.0,-1.0,-1.0,204,3.8000000000000003,0.0
15.0,true,84500,200.0,-1.0,-1.0,204,4.0,0.0
15.0,true,126600,200.0,-1.0,-1.0,204,4.2,0.0
15.0,true,100200,200.0,-1.0,-1.0,204,4.4,0.0
15.0,true,97500,200.0,-1.0,-1.0,204,4.6,0.0
15.0,true,100900,200.0,-1.0,-1.0,204,4.800000000000001,0.0
15.0,true,155700,200.0,-1.0,-1.0,204,5.0,0.0
15.0,true,92400,200.0,-1.0,-1.0,204,5.2,0.0
15.0,true,90000,200.0,-1.0,-1.0,204,5.4,0.0
15.0,true,96300,200.0,-1.0,-1.0,204,5.6000000000000005,0.0
15.0,true,107300,200.0,-1.0,-1.0,204,5.800000000000001,0.0
15.0,true,109900,200.0,-1.0,-1.0,204,6.0,0.0
15.0,true,102400,200.0,-1.0,-1.0,204,6.2,0.0
15.0,true,82300,200.0,-1.0,-1.0,204,6.4,0.0
15.0,true,130400,200.0,-1.0,-1.0,204,6.6000000000000005,0.0
15.0,true,77000,200.0,-1.0,-1.0,204,6.800000000000001,0.0
15.0,true,76900,200.0,-1.0,-1.0,204,7.0,0.0
15.0,true,103900,200.0,-1.0,-1.0,204,7.2,0.0
15.0,true,81500,200.0,-1.0,-1.0,204,7.4,0.0
15.0,true,80200,200.0,-1.0,-1.0,204,7.6000000000000005,0.0
15.0,true,103000,200.0,-1.0,-1.0,204,7.800000000000001,0.0
15.0,true,85300,200.0,-1.0,-1.0,204,8.0,0.0
15.0,true,82800,200.0,-1.0,-1.0,204,8.2,0.0
