Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
15.0,true,1336800,200.0,-1.0,-1.0,783,1.0,0.0
15.0,true,962300,208.0,-1.0,-1.0,591,1.2,0.0
15.0,true,179500,214.0,-1.0,-1.0,278,1.4,0.0
15.0,true,114900,216.0,-1.0,-1.0,266,1.6,0.0
15.0,true,114600,220.0,-1.0,-1.0,255,1.8,0.0
15.0,true,120300,220.0,-1.0,-1.0,257,2.0,0.0
15.0,true,115600,220.0,-1.0,-1.0,257,2.2,0.0
15.0,true,122700,220.0,-1.0,-1.0,257,2.4000000000000004,0.0
15.0,true,121900,220.0,-1.0,-1.0,256,2.6,0.0
15.0,true,158300,220.0,-1.0,-1.0,256,2.8,0.0
15.0,true,131800,222.0,-1.0,-1.0,256,3.0,0.0
15.0,true,216800,222.0,-1.0,-1.0,256,3.2,0.0
15.0,true,177900,222.0,-1.0,-1.0,256,3.4000000000000004,0.0
15.0,true,125600,222.0,-1.0,-1.0,256,3.6,0.0
15.0,true,94200,222.0,-1.0,-1.0,256,3.8000000000000003,0.0
15.0,true,91900,224.0,-1.0,-1.0,250,4.0,0.0
15.0,true,167800,224.0,-1.0,-1.0,250,4.2,0.0
15.0,true,105600,224.0,-1.0,-1.0,250,4.4,0.0
15.0,true,149900,224.0,-1.0,-1.0,250,4.6,0.0
15.0,true,112000,224.0,-1.0,-1.0,250,4.800000000000001,0.0
15.0,true,90700,224.0,-1.0,-1.0,248,5.0,0.0
15.0,true,94200,224.0,-1.0,-1.0,248,5.2,0.0
15.0,true,92100,224.0,-1.0,-1.0,248,5.4,0.0
15.0,true,112400,224.0,-1.0,-1.0,248,5.6000000000000005,0.0
15.0,true,111900,224.0,-1.0,-1.0,248,5.800000000000001,0.0
15.0,true,99400,224.0,-1.0,-1.0,248,6.0,0.0
15.0,true,115000,224.0,-1.0,-1.0,248,6.2,0.0
15.0,true,92700,224.0,-1.0,-1.0,248,6.4,0.0
15.0,true,164500,224.0,-1.0,-1.0,248,6.6000000000000005,0.0
15.0,true,103000,224.0,-1.0,-1.0,248,6.800000000000001,0.0
15.0,true,95600,224.0,-1.0,-1.0,250,7.0,0.0
15.0,true,95900,224.0,-1.0,-1.0,250,7.2,0.0
15.0,true,103900,224.0,-1.0,-1.0,250,7.4,0.0
15.0,true,94200,224.0,-1.0,-1.0,250,7.6000000000000005,0.0
15.0,true,105300,224.0,-1.0,-1.0,250,7.800000000000001,0.0
15.0,true,97800,224.0,-1.0,-1.0,250,8.0,0.0
15.0,true,93700,224.0,-1.0,-1.0,250,8.2,0.0
15.0,true,138400,224.0,-1.0,-1.0,250,8.4,0.0
15.0,true,149300,224.0,-1.0,-1.0,250,8.600000000000001,0.0
15.0,true,137500,224.0,-1.0,-1.0,250,8.8,0.0
15.0,true,100900,224.0,-1.0,-1.0,252,9.0,0.0
15.0,true,99100,224.0,-1.0,-1.0,252,9.200000000000001,0.0
15.0,true,155400,224.0,-1.0,-1.0,252,9.4,0.0
15.0,true,147100,224.0,-1.0,-1.0,252,9.6,0.0
15.0,true,259800,224.0,-1.0,-1.0,252,9.8,0.0
15.0,true,153900,224.0,-1.0,-1.0,252,10.0,0.0
15.0,true,622000,200.0,-1.0,-1.0,855,1.0,0.0
15.0,true,200800,214.0,-1.0,-1.0,337,1.2,0.0
15.0,true,106200,216.0,-1.0,-1.0,260,1.4,0.0
15.0,true,213100,216.0,-1.0,-1.0,253,1.6,0.0
15.0,true,116900,218.0,-1.0,-1.0,248,1.8,0.0
15.0,true,113000,222.0,-1.0,-1.0,247,2.0,0.0
15.0,true,137800,222.0,-1.0,-1.0,247,2.2,0.0
15.0,true,117300,222.0,-1.0,-1.0,246,2.4000000000000004,0.0
15.0,true,101400,222.0,-1.0,-1.0,246,2.6,0.0
15.0,true,89000,222.0,-1.0,-1.0,246,2.8,0.0
15.0,true,96000,224.0,-1.0,-1.0,239,3.0,0.0
15.0,true,170400,224.0,-1.0,-1.0,239,3.2,0.0
15.0,true,183700,224.0,-1.0,-1.0,239,3.4000000000000004,0.0
15.0,true,95000,224.0,-1.0,-1.0,239,3.6,0.0
15.0,true,124500,224.0,-1.0,-1.0,239,3.8000000000000003,0.0
15.0,true,89200,224.0,-1.0,-1.0,239,4.0,0.0
15.0,true,130800,224.0,-1.0,-1.0,239,4.2,0.0
15.0,true,141800,224.0,-1.0,-1.0,239,4.4,0.0
15.0,true,99200,224.0,-1.0,-1.0,239,4.6,0.0
15.0,true,107700,224.0,-1.0,-1.0,239,4.800000000000001,0.0
15.0,true,91100,224.0,-1.0,-1.0,238,5.0,0.0
15.0,true,118000,224.0,-1.0,-1.0,238,5.2,0.0
15.0,true,165700,224.0,-1.0,-1.0,238,5.4,0.0
15.0,true,95600,224.0,-1.0,-1.0,238,5.6000000000000005,0.0
15.0,true,88500,224.0,-1.0,-1.0,238,5.800000000000001,0.0
15.0,true,90800,224.0,-1.0,-1.0,238,6.0,0.0
15.0,true,131800,224.0,-1.0,-1.0,238,6.2,0.0
15.0,true,135200,224.0,-1.0,-1.0,238,6.4,0.0
15.0,true,99900,224.0,-1.0,-1.0,238,6.6000000000000005,0.0
15.0,true,93200,224.0,-1.0,-1.0,238,6.800000000000001,0.0
15.0,true,90200,224.0,-1.0,-1.0,238,7.0,0.0
15.0,true,87700,224.0,-1.0,-1.0,238,7.2,0.0
