Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
15.0,true,101885200,238.0,-1.0,-1.0,185976,1.0,0.0
15.0,true,75334500,234.0,-1.0,-1.0,139491,1.2,0.0
15.0,true,57472800,234.0,-1.0,-1.0,114426,1.4,0.0
15.0,true,36055700,232.0,-1.0,-1.0,70942,1.6,0.0
15.0,true,16423700,232.0,-1.0,-1.0,35234,1.8,0.0
15.0,true,2241800,236.0,-1.0,-1.0,4221,2.0,0.0
15.0,true,2112300,236.0,-1.0,-1.0,4221,2.2,0.0
15.0,true,2745400,236.0,-1.0,-1.0,4221,2.4000000000000004,0.0
15.0,true,2701300,236.0,-1.0,-1.0,4221,2.6,0.0
15.0,true,2135200,236.0,-1.0,-1.0,4221,2.8,0.0
15.0,true,1902700,246.0,-1.0,-1.0,4251,3.0,0.0
15.0,true,1913400,246.0,-1.0,-1.0,4251,3.2,0.0
15.0,true,1873200,246.0,-1.0,-1.0,4251,3.4000000000000004,0.0
15.0,true,1768600,246.0,-1.0,-1.0,4249,3.6,0.0
15.0,true,1797900,246.0,-1.0,-1.0,4249,3.8000000000000003,0.0
15.0,true,2827300,246.0,-1.0,-1.0,4417,4.0,0.0
15.0,true,2043300,246.0,-1.0,-1.0,4417,4.2,0.0
15.0,true,1953900,246.0,-1.0,-1.0,4417,4.4,0.0
15.0,true,1867600,246.0,-1.0,-1.0,4417,4.6,0.0
15.0,true,2203500,246.0,-1.0,-1.0,4417,4.800000000000001,0.0
15.0,true,1792500,246.0,-1.0,-1.0,4418,5.0,0.0
15.0,true,2430300,246.0,-1.0,-1.0,4418,5.2,0.0
15.0,true,1993800,246.0,-1.0,-1.0,4418,5.4,0.0
15.0,true,1826200,246.0,-1.0,-1.0,4418,5.6000000000000005,0.0
15.0,true,1883300,246.0,-1.0,-1.0,4418,5.800000000000001,0.0
15.0,true,1798800,246.0,-1.0,-1.0,4419,6.0,0.0
15.0,true,1793300,246.0,-1.0,-1.0,4419,6.2,0.0
15.0,true,2428400,246.0,-1.0,-1.0,4419,6.4,0.0
15.0,true,2243200,246.0,-1.0,-1.0,4419,6.6000000000000005,0.0
15.0,true,2198900,246.0,-1.0,-1.0,4419,6.800000000000001,0.0
15.0,true,1881600,246.0,-1.0,-1.0,4419,7.0,0.0
15.0,true,1818500,246.0,-1.0,-1.0,4419,7.2,0.0
15.0,true,1766700,246.0,-1.0,-1.0,4419,7.4,0.0
15.0,true,2636100,246.0,-1.0,-1.0,4419,7.6000000000000005,0.0
15.0,true,1861800,246.0,-1.0,-1.0,4419,7.800000000000001,0.0
15.0,true,2413500,246.0,-1.0,-1.0,4419,8.0,0.0
15.0,true,1966500,246.0,-1.0,-1.0,4419,8.2,0.0
15.0,true,1901900,246.0,-1.0,-1.0,4419,8.4,0.0
15.0,true,2308900,246.0,-1.0,-1.0,4419,8.600000000000001,0.0
15.0,true,2511200,246.0,-1.0,-1.0,4419,8.8,0.0
15.0,true,1961100,246.0,-1.0,-1.0,4419,9.0,0.0
15.0,true,2041900,246.0,-1.0,-1.0,4419,9.200000000000001,0.0
15.0,true,2402200,246.0,-1.0,-1.0,4419,9.4,0.0
