Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
25.0,true,317868111,240.0,-1.0,-1.0,189987,1.0,0.0
25.0,true,94624192,242.0,-1.0,-1.0,129201,1.2,0.0
25.0,true,40542978,230.0,-1.0,-1.0,39885,1.4,0.0
25.0,true,9312787,230.0,-1.0,-1.0,4223,1.6,0.0
25.0,true,8878881,230.0,-1.0,-1.0,4173,1.8,0.0
25.0,true,7552233,230.0,-1.0,-1.0,4173,2.0,0.0
25.0,true,7086868,230.0,-1.0,-1.0,4173,2.2,0.0
25.0,true,8780104,230.0,-1.0,-1.0,4174,2.4000000000000004,0.0
25.0,true,10026108,230.0,-1.0,-1.0,4174,2.6,0.0
25.0,true,8369747,230.0,-1.0,-1.0,4174,2.8,0.0
25.0,true,12608363,230.0,-1.0,-1.0,4175,3.0,0.0
25.0,true,9539352,230.0,-1.0,-1.0,4175,3.2,0.0
25.0,true,6623899,230.0,-1.0,-1.0,4175,3.4000000000000004,0.0
25.0,true,8938953,230.0,-1.0,-1.0,4175,3.6,0.0
25.0,true,7177257,230.0,-1.0,-1.0,4175,3.8000000000000003,0.0
25.0,true,8039796,230.0,-1.0,-1.0,4175,4.0,0.0
25.0,true,6599314,230.0,-1.0,-1.0,4175,4.2,0.0
25.0,true,7683751,230.0,-1.0,-1.0,4175,4.4,0.0
25.0,true,8189142,230.0,-1.0,-1.0,4175,4.6,0.0
25.0,true,8834455,230.0,-1.0,-1.0,4175,4.800000000000001,0.0
25.0,true,11840176,230.0,-1.0,-1.0,4175,5.0,0.0
25.0,true,11159655,230.0,-1.0,-1.0,4175,5.2,0.0
25.0,true,7913492,230.0,-1.0,-1.0,4175,5.4,0.0
25.0,true,10047491,230.0,-1.0,-1.0,4175,5.6000000000000005,0.0
25.0,true,6930174,230.0,-1.0,-1.0,4175,5.800000000000001,0.0
25.0,true,8992574,230.0,-1.0,-1.0,4175,6.0,0.0
25.0,true,10645897,230.0,-1.0,-1.0,4176,6.2,0.0
25.0,true,9369881,230.0,-1.0,-1.0,4176,6.4,0.0
25.0,true,11494710,230.0,-1.0,-1.0,4176,6.6000000000000005,0.0
25.0,true,10950072,230.0,-1.0,-1.0,4176,6.800000000000001,0.0
25.0,true,8943515,230.0,-1.0,-1.0,4176,7.0,0.0
25.0,true,11806427,230.0,-1.0,-1.0,4176,7.2,0.0
25.0,true,8958837,230.0,-1.0,-1.0,4176,7.4,0.0
25.0,true,11017858,230.0,-1.0,-1.0,4176,7.6000000000000005,0.0
25.0,true,8664150,230.0,-1.0,-1.0,4176,7.800000000000001,0.0
25.0,true,8341885,230.0,-1.0,-1.0,4176,8.0,0.0
25.0,true,13781126,230.0,-1.0,-1.0,4176,8.2,0.0
25.0,true,8915600,230.0,-1.0,-1.0,4176,8.4,0.0
25.0,true,10776224,230.0,-1.0,-1.0,4176,8.600000000000001,0.0
25.0,true,8265295,230.0,-1.0,-1.0,4176,8.8,0.0
25.0,true,10197400,230.0,-1.0,-1.0,4176,9.0,0.0
25.0,true,3380132,230.0,-1.0,-1.0,4176,9.200000000000001,0.0
25.0,true,3529156,230.0,-1.0,-1.0,4176,9.4,0.0
