Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
25.0,true,28614311,272.0,-1.0,-1.0,7968,1.0,0.0
25.0,true,28410078,272.0,-1.0,-1.0,7968,1.2,0.0
25.0,true,14597446,272.0,-1.0,-1.0,7968,1.4,0.0
25.0,true,11137722,272.0,-1.0,-1.0,7968,1.6,0.0
25.0,true,10225165,272.0,-1.0,-1.0,7968,1.8,0.0
25.0,true,9657694,272.0,-1.0,-1.0,7967,2.0,0.0
25.0,true,13560424,272.0,-1.0,-1.0,7967,2.2,0.0
25.0,true,14013270,272.0,-1.0,-1.0,7967,2.4000000000000004,0.0
25.0,true,10716102,272.0,-1.0,-1.0,7967,2.6,0.0
25.0,true,9461034,272.0,-1.0,-1.0,7967,2.8,0.0
25.0,true,8785171,272.0,-1.0,-1.0,7967,3.0,0.0
25.0,true,8742394,272.0,-1.0,-1.0,7967,3.2,0.0
25.0,true,9553900,272.0,-1.0,-1.0,7967,3.4000000000000004,0.0
25.0,true,14586220,272.0,-1.0,-1.0,7967,3.6,0.0
25.0,true,9098597,272.0,-1.0,-1.0,7967,3.8000000000000003,0.0
25.0,true,12768617,272.0,-1.0,-1.0,7967,4.0,0.0
25.0,true,10373159,272.0,-1.0,-1.0,7967,4.2,0.0
25.0,true,12322260,272.0,-1.0,-1.0,7967,4.4,0.0
25.0,true,11872656,272.0,-1.0,-1.0,7967,4.6,0.0
25.0,true,12805674,272.0,-1.0,-1.0,7967,4.800000000000001,0.0
25.0,true,12359128,272.0,-1.0,-1.0,7967,5.0,0.0
25.0,true,17994516,272.0,-1.0,-1.0,7967,5.2,0.0
25.0,true,9760783,272.0,-1.0,-1.0,7967,5.4,0.0
25.0,true,10751308,272.0,-1.0,-1.0,7967,5.6000000000000005,0.0
25.0,true,8888462,272.0,-1.0,-1.0,7967,5.800000000000001,0.0
25.0,true,9526580,272.0,-1.0,-1.0,7967,6.0,0.0
25.0,true,7830869,272.0,-1.0,-1.0,7967,6.2,0.0
25.0,true,8791714,272.0,-1.0,-1.0,7967,6.4,0.0
25.0,true,12073011,272.0,-1.0,-1.0,7967,6.6000000000000005,0.0
25.0,true,9109017,272.0,-1.0,-1.0,7967,6.800000000000001,0.0
25.0,true,6780741,272.0,-1.0,-1.0,7967,7.0,0.0
25.0,true,7116062,272.0,-1.0,-1.0,7967,7.2,0.0
25.0,true,7035466,272.0,-1.0,-1.0,7967,7.4,0.0
25.0,true,7937250,272.0,-1.0,-1.0,7967,7.6000000000000005,0.0
25.0,true,6683453,272.0,-1.0,-1.0,7967,7.800000000000001,0.0
25.0,true,8287583,272.0,-1.0,-1.0,7967,8.0,0.0
25.0,true,6848992,272.0,-1.0,-1.0,7967,8.2,0.0
25.0,true,7250518,272.0,-1.0,-1.0,7967,8.4,0.0
25.0,true,7449687,272.0,-1.0,-1.0,7967,8.600000000000001,0.0
25.0,true,6806191,272.0,-1.0,-1.0,7967,8.8,0.0
25.0,true,6837305,272.0,-1.0,-1.0,7967,9.0,0.0
25.0,true,9320391,272.0,-1.0,-1.0,7967,9.200000000000001,0.0
25.0,true,6576140,272.0,-1.0,-1.0,7967,9.4,0.0
25.0,true,6722134,272.0,-1.0,-1.0,7967,9.6,0.0
25.0,true,6664422,272.0,-1.0,-1.0,7967,9.8,0.0
25.0,true,6752410,272.0,-1.0,-1.0,7967,10.0,0.0
25.0,true,5395565,306.0,-1.0,-1.0,6554,1.0,0.0
25.0,true,5617270,306.0,-1.0,-1.0,6554,1.2,0.0
25.0,true,6209766,306.0,-1.0,-1.0,6554,1.4,0.0
25.0,true,5137193,306.0,-1.0,-1.0,6554,1.6,0.0
25.0,true,6327648,306.0,-1.0,-1.0,6554,1.8,0.0
25.0,true,5317114,306.0,-1.0,-1.0,6556,2.0,0.0
25.0,true,5231943,306.0,-1.0,-1.0,6556,2.2,0.0
25.0,true,5145127,306.0,-1.0,-1.0,6556,2.4000000000000004,0.0
25.0,true,5299563,306.0,-1.0,-1.0,6556,2.6,0.0
25.0,true,5398826,306.0,-1.0,-1.0,6556,2.8,0.0
25.0,true,5586656,306.0,-1.0,-1.0,6561,3.0,0.0
25.0,true,6309715,306.0,-1.0,-1.0,6561,3.2,0.0
25.0,true,5434353,306.0,-1.0,-1.0,6561,3.4000000000000004,0.0
25.0,true,5510832,306.0,-1.0,-1.0,6561,3.6,0.0
25.0,true,6598767,306.0,-1.0,-1.0,6561,3.8000000000000003,0.0
25.0,true,8398924,306.0,-1.0,-1.0,6561,4.0,0.0
25.0,true,5485595,306.0,-1.0,-1.0,6561,4.2,0.0
25.0,true,9256983,306.0,-1.0,-1.0,6561,4.4,0.0
25.0,true,6073144,306.0,-1.0,-1.0,6561,4.6,0.0
25.0,true,5392427,306.0,-1.0,-1.0,6561,4.800000000000001,0.0
25.0,true,5398827,306.0,-1.0,-1.0,6563,5.0,0.0
25.0,true,5364569,306.0,-1.0,-1.0,6563,5.2,0.0
25.0,true,5507764,306.0,-1.0,-1.0,6563,5.4,0.0
25.0,true,5557866,306.0,-1.0,-1.0,6563,5.6000000000000005,0.0
25.0,true,5379787,306.0,-1.0,-1.0,6563,5.800000000000001,0.0
25.0,true,6732713,306.0,-1.0,-1.0,6563,6.0,0.0
25.0,true,5667846,306.0,-1.0,-1.0,6563,6.2,0.0
25.0,true,5442193,306.0,-1.0,-1.0,6563,6.4,0.0
25.0,true,5561582,306.0,-1.0,-1.0,6563,6.6000000000000005,0.0
25.0,true,6249001,306.0,-1.0,-1.0,6563,6.800000000000001,0.0
25.0,true,6784049,306.0,-1.0,-1.0,6563,7.0,0.0
25.0,true,5589159,306.0,-1.0,-1.0,6563,7.2,0.0
25.0,true,6805161,306.0,-1.0,-1.0,6563,7.4,0.0
25.0,true,5477267,306.0,-1.0,-1.0,6563,7.6000000000000005,0.0
25.0,true,5610113,306.0,-1.0,-1.0,6563,7.800000000000001,0.0
25.0,true,5420179,306.0,-1.0,-1.0,6563,8.0,0.0
25.0,true,5574440,306.0,-1.0,-1.0,6563,8.2,0.0
25.0,true,5469486,306.0,-1.0,-1.0,6563,8.4,0.0
25.0,true,5516797,306.0,-1.0,-1.0,6563,8.600000000000001,0.0
25.0,true,5456944,306.0,-1.0,-1.0,6563,8.8,0.0
25.0,true,10587578,306.0,-1.0,-1.0,6563,9.0,0.0
25.0,true,7212711,306.0,-1.0,-1.0,6563,9.200000000000001,0.0
25.0,true,7159393,306.0,-1.0,-1.0,6563,9.4,0.0
25.0,true,7584039,306.0,-1.0,-1.0,6563,9.6,0.0
25.0,true,7646301,306.0,-1.0,-1.0,6563,9.8,0.0
25.0,true,8527544,306.0,-1.0,-1.0,6563,10.0,0.0
25.0,true,5173265,254.0,-1.0,-1.0,4161,1.0,0.0
25.0,true,4103541,254.0,-1.0,-1.0,4161,1.2,0.0
25.0,true,4450179,254.0,-1.0,-1.0,4161,1.4,0.0
25.0,true,3300616,254.0,-1.0,-1.0,4161,1.6,0.0
25.0,true,3270512,254.0,-1.0,-1.0,4161,1.8,0.0
25.0,true,3403783,254.0,-1.0,-1.0,4161,2.0,0.0
25.0,true,3307196,254.0,-1.0,-1.0,4161,2.2,0.0
25.0,true,3742557,254.0,-1.0,-1.0,4161,2.4000000000000004,0.0
25.0,true,3280939,254.0,-1.0,-1.0,4161,2.6,0.0
25.0,true,3266614,254.0,-1.0,-1.0,4161,2.8,0.0
25.0,true,3316639,254.0,-1.0,-1.0,4161,3.0,0.0
